Year,region_name,Region,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools,Mimaropa,National Capital Region (NCR),Region I - Ilocos,Region II - Cagayan Valley,Region III - Central Luzon,Region IVA - Calabarzon,Region IX - Zamboanga Peninsula,Region V - Bicol,Region VI - Western Visayas,Region VII - Central Visayas,Region VIII - Eastern Visayas,Region X - Nothern Mindanao,Region XI - Davao,Region XII - Soccsksargen,Region XIII - Caraga,Cluster,Cluster(Discrete),PC1,PC2,PC3
2024,Western Visayas,Region VI - Western Visayas,1418595,847,51704677000,36447.80716,61044482.88,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0.5767624022884527,2.747598702754169,-0.36865952571912364
2020,Central Visayas,Region VII - Central Visayas,2010785,897,36817168000,18309.84814,41044780.38,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,1.0973932037273941,-0.9614535822684805,-2.020522444889705
2021,Central Visayas,Region VII - Central Visayas,2136141,938,41134751000,19256.57108,43853679.1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,1.4076058188931042,-0.2536520625595262,-1.9147985184046967
2022,Central Visayas,Region VII - Central Visayas,1915977,958,43994786000,22962.06374,45923576.2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,1.2498755677716882,0.6525091464505045,-1.7135068604784973
2023,Central Visayas,Region VII - Central Visayas,2070042,978,48322352000,23343.65776,49409357.87,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,1.5753361204151717,1.2730409038508887,-1.5211456638521343
2024,Central Visayas,Region VII - Central Visayas,1459235,990,49604670000,33993.61309,50105727.27,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.7430706835493971,2.7573965257389066,-1.2261882645658129
2020,Eastern Visayas,Region VIII - Eastern Visayas,1267220,564,29128987000,22986.5272,51647140.07,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,-0.398067546707096,-1.2364156823439367,-0.44418788114483315
2021,Eastern Visayas,Region VIII - Eastern Visayas,1301782,565,32630831000,25066.27915,57753683.19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,-0.25966813105264525,-0.5127161763891882,-0.08375907476772394
2022,Eastern Visayas,Region VIII - Eastern Visayas,1169023,601,34338345000,29373.54098,57135349.42,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,-0.4381040586981026,0.44728288941737737,-0.0041091904673686485
2023,Eastern Visayas,Region VIII - Eastern Visayas,1199588,604,37431741000,31203.83082,61973081.13,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,-0.32220877121367664,1.1472969064771579,0.31025066127258
