Year,region_name,Region,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
2024,Bicol Region,Region V - Bicol,745804000,6332959000,1111435000,443983000,5566378000,47637000,70567000,48728000,617845000,19703083000,325252000,13327386000,1114782000,213145000,165409000,215492000,50049885000,6351296,7.69942E+11,1366193.8,5355811.48,1735690
2020,Western Visayas,Region VI - Western Visayas,770222000,1905523000,1196812000,630220000,2256686000,16871000,35742000,76117000,271622000,16838164000,288014000,10910988000,925421000,477704000,150923000,170525000,36921554000,7904899,8.50797E+11,1896981.34,6662898.7,10710740
2021,Western Visayas,Region VI - Western Visayas,856123000,2510916000,1192540000,550779000,2664051000,25627000,17363000,68431000,287829000,16051189000,399710000,10981228000,959112000,542623000,173344000,176535000,37457400000,7970551,9.3701E+11,1957817.29,6914099.36,10790970
2022,Western Visayas,Region VI - Western Visayas,845786000,2398845000,1252739000,714012000,3040132000,29614000,24043000,69669000,298169000,16968243000,348116000,11061427000,922932000,679698000,179812000,185800000,39019037000,8033041,1.13419E+12,1946014.72,6823796.54,10790970
2023,Western Visayas,Region VI - Western Visayas,941152000,2690430000,1027135000,635099000,3960048000,44469000,18591000,69331000,644752000,18757121000,363053000,11612282000,1071649000,177806000,196159000,203762000,42412839000,8092366,1.24469E+12,1908885.06,6670891.59,10574620
2024,Western Visayas,Region VI - Western Visayas,944462000,4594508000,1244392000,704964000,4759846000,53130000,47836000,63973000,740526000,18977248000,354104000,13567707000,1286606000,175730000,209656000,227349000,47952037000,8148694,1.27178E+12,1657477.37,5790762.47,10574620
2020,Central Visayas,Region VII - Central Visayas,335441000,1627488000,832213000,360053000,5223534000,25575000,22945000,82738000,354996000,16199794000,285847000,9518993000,908968000,379033000,147830000,158214000,36463662000,7957046,1.17012E+12,636457,1711214.73,4745410
2021,Central Visayas,Region VII - Central Visayas,352685000,1932756000,872561000,420684000,5790477000,26473000,19618000,80230000,350999000,16679712000,391098000,9506822000,900298000,461197000,186262000,158224000,38130096000,8054772,1.23776E+12,625199,1764204.73,4757420
2022,Central Visayas,Region VII - Central Visayas,351513000,1473688000,1181843000,491451000,4930157000,39042000,24696000,79857000,388674000,20079990000,307530000,9861216000,912232000,619175000,193394000,162066000,41096524000,8147078,1.40649E+12,589961.96,1358757.12,4757420
2023,Central Visayas,Region VII - Central Visayas,372094000,2433477000,877356000,515861000,6506876000,53319000,18989000,84963000,675822000,20181876000,383886000,9979672000,945758000,176363000,215321000,172819000,43594452000,8233965,1.57906E+12,648779.43,1704418.02,4758700
